Date,yhat,yhat_lower,yhat_upper
2023-09-25,10805.980107728828,10510.049841131928,11096.755725599076
2023-09-26,10869.731753067861,10570.07019318108,11155.622717577598
2023-09-27,10896.967437374595,10584.490183619642,11167.667474379636
2023-09-28,10876.221502354516,10570.381074155766,11161.600529228983
2023-10-01,10686.357542766198,10405.072643147736,10974.008001066553
2023-10-02,10712.48059205159,10393.096269659321,11015.225520406058
2023-10-03,10765.842845807823,10481.553776039787,11052.282045830829
2023-10-04,10781.890040602691,10487.220549271628,11081.307523622525
2023-10-05,10749.266548066926,10474.08029537495,11042.818909679676
2023-10-09,10534.008592769904,10228.248254842523,10836.478537924078
2023-10-10,10574.350235677854,10257.777052566698,10880.780704274484
2023-10-11,10577.70302488986,10279.274493237628,10866.580329775783
2023-10-12,10532.911517262919,10234.07325493366,10818.65242383833
2023-10-15,10273.282373769136,9996.288920831632,10565.21221743452
2023-10-16,10278.092542480956,9983.036694821665,10560.532387738198
2023-10-17,10311.681508722437,10001.94386905139,10590.449391065706
2023-10-18,10309.815883544912,10028.37905670597,10627.198651701556
2023-10-19,10261.436892879421,9985.894416435893,10568.724112402515
2023-10-22,10001.3445066964,9708.623210935431,10307.981034388564
2023-10-23,10009.442476521866,9737.912846976684,10293.14808274754
2023-10-24,10047.962129136247,9737.580525172916,10346.983691397592
2023-10-25,10052.574786608939,9787.189309307952,10371.595673325999
2023-10-26,10012.09663464112,9715.47292878611,10293.971019625793
2023-10-29,9854.586485757778,9559.95187365001,10150.314100796659
2023-10-30,9898.538067656784,9621.436209649419,10176.10023540335
2023-10-31,9973.38797329048,9688.947250174197,10276.510733795398
2023-11-01,10014.587740252233,9708.496266674076,10301.925079085593
2023-11-02,10010.736538960207,9743.521771322305,10295.33839535828
2023-11-05,9889.362834205827,9578.37168502489,10187.002810164917
2023-11-06,9944.192543146435,9629.683941698293,10231.741628751377
2023-11-07,10029.110630920804,9726.31049695438,10322.337773706096
2023-11-08,10079.478598531221,9794.520940934499,10386.870970359405
2023-11-12,9981.355392955691,9703.769474315162,10284.237270556836
2023-11-13,10040.73897500057,9725.421519283696,10331.89885874005
2023-11-14,10129.510035914445,9838.518907041978,10423.825580390516
2023-11-15,10183.175861948253,9866.828142042166,10447.383065687518
2023-11-16,10190.448654895416,9914.054978834421,10484.924584959475
2023-11-19,10096.287411863043,9811.895706316962,10404.967231246377
2023-11-20,10158.972088044466,9860.715116474194,10461.274016252723
2023-11-21,10251.628284409935,9955.656647378215,10545.3628110089
2023-11-23,10322.746611432078,10025.766611766063,10613.143850223034
2023-11-26,10251.563470992405,9961.399453461745,10548.997778806448
2023-11-27,10324.139988905703,10032.107579303087,10629.770222190682
2023-11-28,10427.743865900695,10155.188851742383,10720.12644933247
2023-11-29,10497.941113988116,10202.020176994953,10811.51923082962
2023-11-30,10523.426585146875,10237.166625450784,10810.329613013851
2023-12-03,10492.57440779202,10198.629200634668,10780.436757971875
2023-12-04,10578.352192161294,10280.408050108901,10870.866778392503
2023-12-05,10694.436347658302,10388.995336657252,10982.528978694563
2023-12-06,10775.991579679681,10467.299950449276,11064.697295693675
2023-12-07,10811.295408190043,10522.096542209058,11094.62783713925
2023-12-10,10796.447944925947,10503.189751735992,11080.819555370095
2023-12-11,10881.730986025863,10586.624009018222,11183.483034028457
2023-12-12,10993.797604473923,10720.023729144936,11301.675738851176
2023-12-13,11067.507912534606,10770.00418106804,11373.79661926502
2023-12-14,11090.88805379884,10801.240924979644,11376.812718964078
2023-12-17,11014.24613735797,10710.429492023422,11304.790629384248
2023-12-18,11070.10393218886,10770.65746850074,11368.576980456632
2023-12-19,11148.452416217357,10856.296825418833,11444.99800655712
2023-12-20,11184.346591090469,10904.56716051845,11481.737091203368
2023-12-21,11166.088759658305,10870.572947615718,11446.940956740536
2023-12-25,10948.703209219773,10675.981136485836,11241.583670009724
2023-12-26,10973.0072136187,10668.331313786453,11264.895448619038
2023-12-27,10954.129960665116,10669.950155057855,11262.103655545327
2023-12-28,10881.051860571819,10582.64667698943,11172.033396483836
2024-01-01,10457.78267051652,10191.606937417224,10765.170422076895
2024-01-02,10437.337062360553,10123.70834587412,10719.586745805851
2024-01-03,10377.636562341946,10093.244801706722,10650.206831252823
2024-01-04,10268.19170132224,9968.495795315675,10556.598337424542
2024-01-07,9811.696886871543,9523.017374084871,10093.476325263307
2024-01-08,9752.08552910747,9463.732368966905,10045.877837463617
2024-01-09,9722.871457573381,9435.285777589193,10003.484460665637
2024-01-10,9660.373840697494,9369.082125356568,9935.087895251077
2024-01-11,9554.03684346418,9257.38132771802,9850.672247070122
2024-01-15,9104.967333809303,8823.505912141161,9381.430772972832
2024-01-16,9104.352361344963,8819.976257580125,9417.765759094613
2024-01-17,9074.229809075301,8800.715880565032,9361.778665675689
2024-01-18,9003.473773712281,8692.423809784646,9312.071664402456
2024-01-21,8709.567574772333,8407.137763464647,9005.250739608087
2024-01-22,8716.47410304059,8409.622477892122,9005.521068952454
2024-01-23,8758.178403663895,8467.726419284956,9046.103108409654
2024-01-24,8769.886634419987,8458.946249985669,9067.615121598721
2024-01-25,8739.921973874809,8455.819798617715,9039.483942431649
2024-01-28,8557.388738503634,8249.763149802351,8846.730813243921
2024-01-29,8596.462460104623,8325.168148367753,8868.863007979326
2024-01-30,8667.377377120833,8359.860190011403,8971.069900007844
2024-01-31,8705.159294982881,8397.603199560153,8986.48262472476
2024-02-01,8698.023081615893,8403.955764019944,8994.700413407083
2024-02-04,8564.46101240443,8262.655746573892,8853.272004902394
2024-02-05,8613.659088649241,8305.61828717626,8894.247241450288
2024-02-06,8691.891492804869,8393.031046057687,8974.527812424663
2024-02-07,8734.428975813533,8415.739442967952,9021.589210799453
2024-02-08,8729.766094398945,8423.729379382832,9036.171373926512
2024-02-11,8593.060413049405,8295.769859067317,8877.10236559704
2024-02-12,8638.779766117188,8331.617796694667,8943.857381897495
2024-02-13,8712.855585022979,8417.864128831376,8995.257607299665
2024-02-14,8750.859137084422,8457.074310248572,9020.92883682376
2024-02-15,8741.560461987461,8433.225772367095,9041.912231158578
2024-02-19,8635.329574738334,8328.763189810066,8925.415026552808
2024-02-20,8707.144975002955,8409.871015641978,9006.006583152657
2024-02-21,8743.645736137429,8441.927445277675,9053.856086387974
2024-02-22,8733.593342303699,8420.580402173528,9034.228402689268
2024-02-25,8586.169180316507,8311.52141186031,8886.911623027489
2024-02-26,8630.283464324317,8354.325076873374,8927.843331698137
2024-02-27,8703.63567620519,8410.978045395515,8986.089082331526
2024-02-28,8741.638706452628,8447.00041086407,9033.000020943107
2024-02-29,8732.84924568837,8432.349576630211,9028.701634201947
2024-03-03,8585.699670193062,8299.174656699533,8879.11791914796
2024-03-04,8628.0759841861,8305.20906022368,8922.808883602225
2024-03-05,8698.484587567546,8384.002761943262,8993.271072309211
2024-03-06,8732.197812707516,8433.316934343518,9018.900402495157
2024-03-07,8717.660592872508,8424.836703302553,9000.267368251492
2024-03-10,8543.898666682917,8241.293319240904,8830.070180188126
2024-03-11,8574.252598122897,8276.66526515608,8870.307764988183
2024-03-12,8631.140326720175,8334.954897466512,8903.850868066029
2024-03-13,8649.934413674204,8337.229798874752,8926.79572670285
2024-03-14,8619.213597296713,8321.225036976391,8894.474279265625
2024-03-17,8391.095112026504,8095.75828966189,8684.916098126942
2024-03-18,8402.110412735385,8091.7542411798,8707.345574916717
2024-03-19,8439.45320523323,8138.691335997645,8723.77198362312
2024-03-20,8438.755790047662,8133.626562589371,8758.170371546474
2024-03-21,8388.861457017141,8093.950166123617,8702.431540978345
2024-03-24,8107.744959144401,7815.997165632098,8418.14356485968
2024-03-25,8103.430368570673,7811.927207039686,8396.950982918055
2024-03-26,8126.989235006372,7838.5042137659175,8411.443833466998
2024-03-27,8114.250928081028,7805.103106462228,8401.269775551786
2024-03-28,8054.23167469365,7752.867522031841,8367.034613857642
2024-03-31,7755.556869416963,7446.443752509765,8066.064740185623
2024-04-01,7749.955155545439,7450.382788128363,8049.356759964097
2024-04-02,7774.580400265755,7461.830241322185,8057.528086771631
2024-04-03,7765.258546842428,7472.086635154848,8053.22067114857
2024-04-04,7710.972586461945,7429.342035676305,8000.45940760423
2024-04-07,7442.644319785022,7140.207834780267,7748.534984135447
2024-04-08,7451.159536914412,7150.388674674044,7750.877620505338
2024-04-09,7491.654171255682,7203.419604446004,7793.474801386073
2024-04-10,7522.235845205641,7245.0852183045345,7824.9345475141445
2024-04-11,7509.230961376027,7235.793391351938,7823.5958160209175
2024-04-14,7370.852140907973,7083.265739625533,7669.609160166977
2024-04-15,7423.949798432177,7138.641563994474,7709.567448424512
2024-04-16,7509.258698023429,7238.153892396918,7804.291836417611
2024-04-17,7562.180124194721,7256.612038862613,7852.734056226412
2024-04-18,7571.255563659466,7273.948521617383,7862.56453095164
2024-04-21,7495.150189242065,7200.897737425902,7776.57573218748
2024-04-22,7566.909835528923,7267.112309481873,7853.1956321241605
2024-04-23,7669.468735483222,7381.286223192982,7959.625522476321
2024-04-24,7738.0276633155645,7435.796922942141,8001.935056814558
2024-04-25,7760.942436286675,7459.9849851835515,8058.4036488049505
2024-04-28,7713.97431962602,7434.521904480913,7977.911122035166
2024-04-29,7790.890917655029,7508.333554499176,8101.036908413505
2024-04-30,7896.172296477432,7604.74548176974,8187.998470063201
2024-05-01,7964.963328731196,7685.942381213627,8257.721817621536
2024-05-02,7985.591491152505,7689.872970595021,8252.20782863039
2024-05-05,7916.805767830936,7628.64739348104,8222.385402336238
2024-05-06,7981.666898941375,7674.185420525931,8259.605975356308
2024-05-07,8072.679746698563,7798.946898414012,8379.061744834522
2024-05-08,8125.141952345685,7842.118284195038,8434.588371674135
2024-05-09,8127.563139852318,7850.322645190118,8420.415164928168
2024-05-12,7995.116136153674,7680.766428099623,8268.748286662105
2024-05-13,8036.60599115078,7748.5212583641105,8313.710862886222
2024-05-14,8103.653017187484,7821.519683684248,8360.347569721527
2024-05-15,8131.865619150176,7848.350810273117,8400.620018480247
2024-05-16,8110.073202811195,7790.250902304295,8389.775052571515
2024-05-19,7908.435490294925,7597.999863919435,8206.30959823536
2024-05-20,7929.066859554281,7624.665948370628,8203.212649202913
2024-05-21,7976.855929882269,7681.139269674925,8279.539475919084
2024-05-22,7987.681405702845,7673.431962725881,8287.459387859815
2024-05-23,7950.61710652729,7666.837384664163,8253.844922790095
